OBJECTNUMMER;SELECTIE;FILTER;Naam;Sportvoorziening;Locatie;Omheining;Ondergrond;Verlichting;Omschrijving;Oppervlak;Foto;COORDS;CENTERLNG1;CENTERLAT1;CENTERLNG2;CENTERLAT2;
354;"VOETBAL";"";"VOSPAD";"Voetbal";"Plantsoen";"Geen";"Stoeptegels";"Nee";"Basketbalpaal";1763;"WVospad_1.jpg";"POINT(4.99207 52.290052)";4.99207;52.290052;4,99207;52,290052;
355;"VOETBAL";"";"SCHAEFFERPAD";"Voetbal";"Plein";"Kooi gesloten";"Asfalt";"Nee";"Voetbalveld, zitbanken naast veld";587;"JSchaefferpad_2.jpg";"POINT(4.99094 52.291873)";4.99094;52.291873;4,99094;52,291873;
356;"VOETBAL";"";"HOSSTRAAT";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbaldoel";542;"HHosstraat.jpg";"POINT(4.99669 52.299693)";4.99669;52.299693;4,99669;52,299693;
357;"VOETBAL";"";"RIMASTRAAT";"Voetbal";"Plantsoen";"Geen";"Zand";"Nee";"Voetbalveld";954;"LRimastraat.jpg";"POINT(4.999361 52.301041)";4.999361;52.301041;4,999361;52,301041;
358;"VOETBAL";"";"AARNHOUTSSTRAAT";"Voetbal";"Plantsoen";"Geen";"Zand";"Nee";"Voetbalveld";917;"CAarnhoutsstraat.jpg";"POINT(4.992527 52.299698)";4.992527;52.299698;4,992527;52,299698;
359;"VOETBAL";"";"PUIFLIJKPAD";"Voetbal";"Plantsoen";"Ballenvangers";"Gras";"Nee";"Voetbalveld";821;"Puiflijkpad.jpg";"POINT(4.981076 52.298284)";4.981076;52.298284;4,981076;52,298284;
360;"VOETBAL";"";"PARKHOF";"Voetbal";"Plein";"Kooi open";"Asfalt";"Nee";"Voetbalveld met belijning";1053;"Parkhof_1.jpg";"POINT(4.979747 52.297695)";4.979747;52.297695;4,979747;52,297695;
361;"VOETBAL";"";"REIGERSBOSPAD";"Voetbal";"Park";"Geen";"Gras";"Nee";"Voetbalveld";2508;"Reigersbospad_2.jpg";"POINT(4.974101 52.3027)";4.974101;52.3027;4,974101;52,3027;
362;"VOETBAL";"";"REIGERSBOSPAD";"Voetbal";"Park";"Hekwerk laag";"Asfalt";"Nee";"Voetbalveld met belijning";755;"Reigersbospad_3.jpg";"POINT(4.972928 52.302632)";4.972928;52.302632;4,972928;52,302632;
363;"VOETBAL";"";"REIGERSBOSPAD";"Voetbal";"Park";"Geen";"Gras";"Nee";"Voetbalveld";838;"Reigersbospad_6.jpg";"POINT(4.971562 52.302897)";4.971562;52.302897;4,971562;52,302897;
364;"VOETBAL";"";"KELBERGEN";"Voetbal";"Park";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning";465;"Kelbergen.jpg";"POINT(4.969905 52.312374)";4.969905;52.312374;4,969905;52,312374;
365;"VOETBAL";"";"KLIEVERINK";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld, zitbanken naast veld";1320;"Klieverink.jpg";"POINT(4.984245 52.315812)";4.984245;52.315812;4,984245;52,315812;
366;"VOETBAL";"";"BIJLMERWEIDE";"Voetbal";"Park";"Geen";"Gras";"Nee";"Voetbaldoel";6057;"Bijlmerweide_1.jpg";"POINT(4.991936 52.321697)";4.991936;52.321697;4,991936;52,321697;
367;"VOETBAL";"";"BIJLMERWEIDE";"Voetbal";"Park";"Geen";"Gras";"Nee";"Voetbalveld, zitbanken naast veld";5954;"Bijlmerweide_3.jpg";"POINT(4.98644 52.327701)";4.98644;52.327701;4,98644;52,327701;
368;"VOETBAL";"";"KLEIBURG";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld, kleine doelen";498;"Kleiburg.jpg";"POINT(4.979608 52.319301)";4.979608;52.319301;4,979608;52,319301;
369;"VOETBAL";"";"KRAAIENNEST";"Voetbal";"Plein";"Hekwerk laag";"Asfalt";"Nee";"Voetbalveld, kleine doelen, zitbanken naast veld";68;"Kraaiennest_9.jpg";"POINT(4.980267 52.31782)";4.980267;52.31782;4,980267;52,31782;
370;"VOETBAL";"";"KRAAIENNEST";"Voetbal";"Plein";"Hekwerk laag";"Asfalt";"Nee";"Voetbalveld, kleine doelen, zitbanken naast veld";142;"Kraaiennest_10.jpg";"POINT(4.980224 52.317685)";4.980224;52.317685;4,980224;52,317685;
371;"VOETBAL";"";"KORMELINKWEG";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";1454;"Kormelinkweg.jpg";"POINT(4.971646 52.315885)";4.971646;52.315885;4,971646;52,315885;
372;"VOETBAL";"";"GROENEVEEN";"Voetbal";"Plantsoen";"Ballenvangers";"Gras";"Nee";"Voetbalveld";1316;"Groeneveen.jpg";"POINT(4.974429 52.321017)";4.974429;52.321017;4,974429;52,321017;
373;"VOETBAL";"";"GRAVESTEIN";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";1030;"Gravestein_2.jpg";"POINT(4.968752 52.325779)";4.968752;52.325779;4,968752;52,325779;
374;"VOETBAL";"";"GRAVESTEIN";"Voetbal";"Plantsoen";"Geen";"Gras";"Nee";"Voetbalveld";886;"Gravestein_1.jpg";"POINT(4.969404 52.323543)";4.969404;52.323543;4,969404;52,323543;
375;"VOETBAL";"";"KARTINISTRAAT";"Voetbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld combi-veld, zitbanken naast veld";469;"RAKartinistraat_1.jpg";"POINT(4.966185 52.322687)";4.966185;52.322687;4,966185;52,322687;
376;"VOETBAL";"";"GULDENKRUISPAD";"Voetbal";"Plantsoen";"Ballenvangers";"Stoeptegels";"Nee";"Voetbalveld, zitbanken naast veld";577;"Guldenkruispad_1.jpg";"POINT(4.966353 52.318922)";4.966353;52.318922;4,966353;52,318922;
377;"VOETBAL";"";"BANKASTRAAT";"Voetbal";"Straat";"Kooi open";"Stoeptegels";"Nee";"Voetbalveld";292;"Bankastraat_1.jpg";"POINT(4.931401 52.364845)";4.931401;52.364845;4,931401;52,364845;
378;"VOETBAL";"";"MINAHASSASTRAAT";"Voetbal";"Straat";"Ballenvangers";"Stoeptegels";"Nee";"Voetbaldoel, combi-veld";106;"Minahassastraat.jpg";"POINT(4.933226 52.360107)";4.933226;52.360107;4,933226;52,360107;
379;"VOETBAL";"";"BATAVIA";"Voetbal";"Speeltuin";"Ballenvangers";"Asfalt";"Nee";"Voetbalveld met belijning, speeltuin Batavia";541;"Batavia_1.jpg";"POINT(4.941206 52.360739)";4.941206;52.360739;4,941206;52,360739;
380;"VOETBAL";"";"SUMATRAPLANTSOEN";"Voetbal";"Plein";"Geen";"Asfalt";"Nee";"Voetbalveld met belijning, zitbanken naast veld";605;"Sumatraplantsoen_1.jpg";"POINT(4.942902 52.35991)";4.942902;52.35991;4,942902;52,35991;
